date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-17,2026-04-17T18:30:00Z,FC St. Pauli vs 1. FC Cologne,Germany - Bundesliga,Ragnar Ache,FC Cologne,FC St. Pauli,shadow_track,0.2171,1.1077,0,,0,expected_starter,0.359265,2.7835,Bet365,3.5000,0.257427,medium,2026-04-14T19:16:53Z,8869,Ragnar Ache,FC St. Pauli,1. FC Cologne,FW,FW,1608.0,T2,no_action,,0,0.0000,0.00,,,1,0,lost,2026-04-18T00:04:03Z,-1.0000,played_did_not_score
2026-04-17,2026-04-17T18:30:00Z,FC St. Pauli vs 1. FC Cologne,Germany - Bundesliga,Said El Mala,FC Cologne,FC St. Pauli,penalty_transfer,0.3036,1.1077,1,Gian-Luca Waldschmidt,0,expected_starter,0.312025,3.2049,Bet365,3.7500,0.170094,medium,2026-04-14T19:16:53Z,13911,Said El Mala,FC St. Pauli,1. FC Cologne,FW,FW,1463.0,T2,no_action,,0,0.0822,0.00,,,1,0,lost,2026-04-18T00:04:03Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Bayer Leverkusen vs FC Augsburg,Germany - Bundesliga,Alexis Claude Maurice,Augsburg,Bayer Leverkusen,shadow_track,0.0936,0.8431,0,,0,expected_starter,0.313576,3.1890,Bet365,4.3330,0.358725,medium,2026-04-15T14:28:02Z,5752,Alexis Claude Maurice,Bayer Leverkusen,FC Augsburg,AMC,AMC,4048.0,T2,no_action,,0,0.3521,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Bayer Leverkusen vs FC Augsburg,Germany - Bundesliga,Edmond Tapsoba,Bayer Leverkusen,FC Augsburg,shadow_track,0.7315,1.2185,0,,0,expected_starter,0.170757,5.8563,Bet365,7.5000,0.280677,medium,2026-04-15T14:28:02Z,8317,Edmond Tapsoba,Bayer Leverkusen,FC Augsburg,DC,DC,6646.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-18,2026-04-18T16:30:00Z,Eintracht Frankfurt vs RB Leipzig,Germany - Bundesliga,Christoph Baumgartner,RasenBallsport Leipzig,Eintracht Frankfurt,penalty_transfer,0.3925,1.0633,1,Xavi Simons,0,expected_starter,0.395714,2.5271,Bet365,2.8750,0.137678,medium,2026-04-15T22:26:22Z,7422,Christoph Baumgartner,Eintracht Frankfurt,RB Leipzig,MC,MC,4993.0,T2,no_action,,0,0.0978,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,TSG Hoffenheim vs Borussia Dortmund,Germany - Bundesliga,Marcel Sabitzer,Borussia Dortmund,TSG Hoffenheim,penalty_transfer,0.6455,0.9849,1,Ramy Bensebaini,0,starter,0.199067,5.0234,Bet365,7.0000,0.393469,high,2026-04-18T12:29:18Z,5248,Marcel Sabitzer,TSG Hoffenheim,Borussia Dortmund,MC,MC,5018.0,T1,no_action,non_attacking_role,1,0.8045,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,TSG Hoffenheim vs Borussia Dortmund,Germany - Bundesliga,Nico Schlotterbeck,Borussia Dortmund,TSG Hoffenheim,shadow_track,0.2861,0.9849,0,,0,expected_starter,0.173816,5.7532,Bet365,7.5000,0.303620,medium,2026-04-17T09:09:22Z,7485,Nico Schlotterbeck,TSG Hoffenheim,Borussia Dortmund,DC,DC,6829.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,TSG Hoffenheim vs Borussia Dortmund,Germany - Bundesliga,Ramy Bensebaini,Borussia Dortmund,TSG Hoffenheim,shadow_track,1.0275,0.9632,0,,0,expected_starter,0.216298,4.6233,Bet365,7.0000,0.514086,medium,2026-04-15T14:28:02Z,3349,Ramy Bensebaini,TSG Hoffenheim,Borussia Dortmund,DC,DC,4367.0,T2,no_action,,1,0.7130,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,TSG Hoffenheim vs Borussia Dortmund,Germany - Bundesliga,Waldemar Anton,Borussia Dortmund,TSG Hoffenheim,shadow_track,-0.7101,0.9849,0,,0,expected_starter,0.111137,8.9979,Bet365,11.0000,0.222507,medium,2026-04-15T14:28:02Z,106,Waldemar Anton,TSG Hoffenheim,Borussia Dortmund,DC,DC,7169.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Andrej Ilic,Union Berlin,VFL Wolfsburg,stacked,-0.8843,1.3043,0,,0,starter,0.386658,2.5863,Bet365,2.8750,0.111642,high,2026-04-18T12:29:18Z,12421,Andrej Ilic,Union Berlin,VFL Wolfsburg,AMC,AMC,2745.0,T1,surface,,0,0.0107,1.25,core,1.25u Core,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Denis Vavro,Wolfsburg,Union Berlin,shadow_track,-0.6961,1.0665,0,,0,expected_starter,0.089393,11.1866,Bet365,13.0000,0.162109,medium,2026-04-15T14:28:02Z,7940,Denis Vavro,Union Berlin,VFL Wolfsburg,DC,DC,3106.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Konstantinos Koulierakis,Wolfsburg,Union Berlin,shadow_track,0.8182,1.1693,0,,0,expected_starter,0.096867,10.3234,Bet365,13.0000,0.259271,medium,2026-04-17T09:09:22Z,13063,Konstantinos Koulierakis,Union Berlin,VFL Wolfsburg,DC,DC,4504.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Leopold Querfeld,Union Berlin,VFL Wolfsburg,penalty_transfer,-0.2506,1.3453,1,Derrick Kohn,0,starter,0.166812,5.9948,Bet365,6.5000,0.084278,high,2026-04-18T12:29:18Z,12920,Leopold Querfeld,Union Berlin,VFL Wolfsburg,DC,DC,4155.0,T1,no_action,non_attacking_role,1,0.6155,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Mohamed Amoura,Wolfsburg,Union Berlin,shadow_track,-2.1034,1.1693,0,,0,starter,0.331971,3.0123,Bet365,3.6000,0.195096,high,2026-04-18T12:29:18Z,13062,Mohamed Amoura,Union Berlin,VFL Wolfsburg,AMC,AMC,4224.0,T1,surface,,0,0.0164,1.00,standard,1.00u Standard,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Rani Khedira,Union Berlin,VFL Wolfsburg,shadow_track,0.5161,1.3043,0,,0,expected_starter,0.128738,7.7677,Bet365,11.0000,0.416118,medium,2026-04-15T14:28:02Z,5251,Rani Khedira,Union Berlin,VFL Wolfsburg,MC,MC,6518.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Werder Bremen vs Hamburger SV,Germany - Bundesliga,Miro Muheim,Hamburger SV,Werder Bremen,penalty_transfer,-0.2802,0.7806,1,Luka Vuskovic,0,expected_starter,0.110152,9.0784,Bet365,10.0000,0.101520,medium,2026-04-17T09:09:22Z,13922,Miro Muheim,Werder Bremen,Hamburger SV,DML,DML,2340.0,T2,no_action,,1,0.6480,0.00,,,,,,,,
2026-04-18,2026-04-18T13:30:00Z,Werder Bremen vs Hamburger SV,Germany - Bundesliga,Niklas Stark,Werder Bremen,Hamburger SV,shadow_track,-0.5796,1.1889,0,,0,expected_starter,0.101804,9.8228,Bet365,12.0000,0.221648,medium,2026-04-15T14:28:02Z,418,Niklas Stark,Werder Bremen,Hamburger SV,DC,DC,3860.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
2026-04-19,2026-04-19T13:30:00Z,SC Freiburg vs 1. FC Heidenheim,Germany - Bundesliga,Julian Niehues,FC Heidenheim,SC Freiburg,shadow_track,0.5752,1.1264,0,,0,expected_starter,0.110094,9.0832,Bet365,12.0000,0.321128,medium,2026-04-16T14:50:20Z,13429,Julian Niehues,SC Freiburg,1. FC Heidenheim,MC,MC,1409.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
