date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-25,2026-04-25T17:00:00Z,Angers SCO vs Paris Saint-Germain,France - Ligue 1,Prosper Peter,Angers,Paris Saint-Germain,shadow_track,0.9324,0.4732,0,,0,starter,0.166902,5.9915,Bet365,6.5000,0.084863,high,2026-04-25T16:47:59Z,,13604,Prosper Peter,Angers SCO,Paris Saint-Germain,FW,FW,1072.0,T1,no_action,stake_band_fail,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:52Z,-1.0000,played_did_not_score
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Adrien Thomasson,Lens,OGC Nice,shadow_track,-0.9879,1.5403,0,,0,starter,0.268408,3.7257,Bet365,4.3330,0.163012,high,2026-05-02T19:15:34Z,,3549,Adrien Thomasson,OGC Nice,Racing Club De Lens,MC,MC,6338.0,T1,no_action,non_attacking_role,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Antoine Mendy,Nice,Racing Club De Lens,shadow_track,-0.4187,0.8148,0,,0,expected_starter,0.098489,10.1534,Bet365,13.0000,0.280357,medium,2026-04-29T20:57:48Z,,9514,Antoine Mendy,OGC Nice,Racing Club De Lens,DC,DC,3054.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Matthieu Udol,Lens,OGC Nice,shadow_track,-1.4285,1.5403,0,,0,expected_starter,0.188047,5.3178,Bet365,7.0000,0.316329,medium,2026-04-29T20:57:48Z,,5745,Matthieu Udol,OGC Nice,Racing Club De Lens,DML,DML,5393.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Samson Baidoo,Lens,OGC Nice,shadow_track,-0.9792,1.3559,0,,0,starter,0.133686,7.4802,Bet365,9.5000,0.270017,high,2026-05-02T19:15:34Z,,13732,Samson Baidoo,OGC Nice,Racing Club De Lens,Sub,Sub,1581.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Tom Louchet,Nice,Racing Club De Lens,shadow_track,-0.2800,0.8518,0,,0,starter,0.162675,6.1472,Bet365,7.0000,0.138725,high,2026-05-02T19:15:34Z,,11515,Tom Louchet,OGC Nice,Racing Club De Lens,Sub,Sub,2339.0,T1,no_action,fair_odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Lassine Sinayoko,Auxerre,Angers SCO,shadow_track,-2.6762,1.0405,0,,0,expected_starter,0.454312,2.2011,Bet365,2.6000,0.181211,medium,2026-04-30T18:05:33Z,,10815,Lassine Sinayoko,AJ Auxerre,Angers SCO,FW,FW,4846.0,T2,no_action,,0,0.1158,0.00,,,,,,,1,1,won,2026-05-04T00:13:01Z,1.6000,scored_1_goals
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Mohamed Amine Sbai,Angers,AJ Auxerre,shadow_track,-0.2949,0.9403,0,,0,expected_starter,0.192291,5.2004,Bet365,7.0000,0.346037,medium,2026-04-30T18:05:33Z,,14131,Mohamed Amine Sbai,AJ Auxerre,Angers SCO,FW,FW,1729.0,T2,no_action,,0,0.3268,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Prosper Peter,Angers,AJ Auxerre,shadow_track,0.4286,0.9403,0,,0,starter,0.215937,4.6310,Bet365,5.0000,0.079685,high,2026-05-03T15:04:43Z,,13604,Prosper Peter,AJ Auxerre,Angers SCO,FW,FW,1142.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Sinaly Diomande,Auxerre,Angers SCO,shadow_track,-0.2533,1.0405,0,,0,expected_starter,0.118801,8.4175,Bet365,9.5000,0.128610,medium,2026-04-30T18:05:33Z,,8703,Sinaly Diomande,AJ Auxerre,Angers SCO,DC,DC,4705.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score
2026-05-03,2026-05-03T15:15:00Z,Paris FC vs Stade Brest 29,France - Ligue 1,Marshall Munetsi,Paris FC,Stade Brest 29,shadow_track,0.5523,1.3374,0,,0,expected_starter,0.294393,3.3968,Bet365,3.7500,0.103974,medium,2026-04-30T18:05:33Z,,7908,Marshall Munetsi,Paris FC,Stade Brest 29,AMC,AMC,4710.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Antoine Mendy,Nice,AJ Auxerre,shadow_track,-0.3752,1.0948,0,,0,expected_starter,0.090034,11.1069,Bet365,13.0000,0.170442,medium,2026-05-07T19:58:49Z,,9514,Antoine Mendy,AJ Auxerre,OGC Nice,DC,DC,3144.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-11T01:24:19Z,-1.0000,played_did_not_score
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Lassine Sinayoko,Auxerre,OGC Nice,shadow_track,-2.1867,1.1936,0,,0,expected_starter,0.478691,2.0890,Bet365,2.7500,0.316400,medium,2026-05-07T19:58:49Z,,10815,Lassine Sinayoko,AJ Auxerre,OGC Nice,FWR,FWR,4936.0,T2,no_action,,0,0.1038,0.00,,,,,,,1,1,won,2026-05-11T01:24:19Z,1.7500,scored_1_goals
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Sinaly Diomande,Auxerre,OGC Nice,shadow_track,-0.4270,1.1936,0,,0,expected_starter,0.116602,8.5762,Bet365,11.0000,0.282622,medium,2026-05-07T19:58:49Z,,8703,Sinaly Diomande,AJ Auxerre,OGC Nice,DC,DC,4795.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-11T01:24:19Z,-1.0000,played_did_not_score
2026-05-13,2026-05-13T19:00:00Z,Racing Club De Lens vs Paris Saint-Germain,France - Ligue 1,Matthieu Udol,Lens,Paris Saint-Germain,shadow_track,-1.2498,0.5145,0,,0,expected_starter,0.138914,7.1987,Bet365,8.5000,0.180769,medium,2026-05-11T15:55:48Z,,5745,Matthieu Udol,Racing Club De Lens,Paris Saint-Germain,DML,DML,5573.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-05-14T01:41:27Z,-1.0000,played_did_not_score
2026-05-17,2026-05-17T19:00:00Z,Stade Brest 29 vs Angers SCO,France - Ligue 1,Goduine Koyalipou,Angers,Stade Brest 29,shadow_track,0.1595,1.5161,0,,0,starter,0.404979,2.4693,Bet365,3.5000,0.417426,high,2026-05-17T19:19:46Z,,13335,Goduine Koyalipou,Stade Brest 29,Angers SCO,Sub,Sub,1498.0,T1,no_action,non_attacking_role,0,0.1864,0.00,,,1,1,,0,1,0,lost,2026-05-18T01:42:55Z,-1.0000,played_did_not_score_super_sub_ambiguous
2026-05-17,2026-05-17T19:00:00Z,Stade Brest 29 vs Angers SCO,France - Ligue 1,Mohamed Amine Sbai,Angers,Stade Brest 29,shadow_track,-0.3159,1.3568,0,,0,starter,0.239448,4.1763,Bet365,5.0000,0.197240,high,2026-05-17T19:19:46Z,,14131,Mohamed Amine Sbai,Stade Brest 29,Angers SCO,AML,AML,1775.0,T1,surface,,0,0.1646,1.00,standard,1.00u Standard,,,,,1,1,won,2026-05-18T01:42:55Z,4.0000,scored_1_goals
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Antoine Mendy,Nice,FC Lorient,shadow_track,0.3733,1.0437,0,,0,expected_starter,0.134830,7.4168,Bet365,10.0000,0.348300,medium,2026-08-20T07:27:55Z,,9514,Antoine Mendy,OGC Nice,FC Lorient,DC,DC,3324.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Jean-Victor Makengo,Lorient,OGC Nice,shadow_track,-0.0414,1.1444,0,,0,expected_starter,0.211533,4.7274,Bet365,5.5000,0.163431,medium,2026-08-20T07:27:55Z,,3536,Jean-Victor Makengo,OGC Nice,FC Lorient,AMC,AMC,2318.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Noah Cadiou,Lorient,OGC Nice,shadow_track,0.7799,1.1444,0,,0,expected_starter,0.247419,4.0417,Bet365,6.0000,0.484514,medium,2026-08-20T07:27:55Z,,13975,Noah Cadiou,OGC Nice,FC Lorient,MC,MC,1851.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Sofiane Diop,Nice,FC Lorient,shadow_track,-1.2054,1.0437,0,,0,expected_starter,0.331501,3.0166,Bet365,3.2000,0.060803,medium,2026-08-22T14:36:56Z,,6846,Sofiane Diop,OGC Nice,FC Lorient,AMC,AMC,3714.0,T2,no_action,,0,0.1028,0.00,,,1,1,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score_super_sub_ambiguous
2026-08-22,2026-08-22T18:45:00Z,OGC Nice vs FC Lorient,France - Ligue 1,Tosin Aiyegun,Lorient,OGC Nice,shadow_track,-0.4847,1.1444,0,,0,expected_starter,0.313112,3.1937,Bet365,3.5000,0.095892,medium,2026-08-20T07:27:55Z,,12049,Tosin Aiyegun,OGC Nice,FC Lorient,Sub,Sub,1968.0,T2,no_action,,0,0.1566,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score
2026-08-22,2026-08-22T15:15:00Z,Racing Club De Lens vs AJ Auxerre,France - Ligue 1,Florian Thauvin,Lens,AJ Auxerre,shadow_track,1.2958,0.9919,0,,0,starter,0.425560,2.3498,Bet365,2.6000,0.106456,high,2026-08-22T14:36:56Z,,942,Florian Thauvin,Racing Club De Lens,AJ Auxerre,AMC,AMC,2510.0,T1,surface,,0,0.0844,1.25,core,1.25u Core,,,,,1,2,won,2026-08-23T09:27:41Z,2.0000,scored_2_goals
2026-08-22,2026-08-22T15:15:00Z,Racing Club De Lens vs AJ Auxerre,France - Ligue 1,Lamine Sy,Auxerre,Racing Club De Lens,shadow_track,-0.4366,0.7651,0,,0,expected_starter,0.089637,11.1561,Bet365,12.0000,0.075644,medium,2026-08-20T07:27:55Z,,13793,Lamine Sy,Racing Club De Lens,AJ Auxerre,DR,DR,1519.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,1,won,2026-08-23T09:27:41Z,11.0000,scored_1_goals
2026-08-22,2026-08-22T15:15:00Z,Racing Club De Lens vs AJ Auxerre,France - Ligue 1,Matthieu Udol,Lens,AJ Auxerre,shadow_track,-0.7123,1.1119,0,,0,expected_starter,0.242121,4.1302,Bet365,6.0000,0.452726,medium,2026-08-20T07:27:55Z,,5745,Matthieu Udol,Racing Club De Lens,AJ Auxerre,Sub,Sub,5700.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score
2026-08-22,2026-08-22T15:15:00Z,Racing Club De Lens vs AJ Auxerre,France - Ligue 1,Sinaly Diomande,Auxerre,Racing Club De Lens,shadow_track,-0.4270,0.7651,0,,0,expected_starter,0.159420,6.2728,Bet365,12.0000,0.913040,medium,2026-08-20T07:27:55Z,,8703,Sinaly Diomande,Racing Club De Lens,AJ Auxerre,DC,DC,4975.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-23T09:27:41Z,-1.0000,played_did_not_score
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Amine Sbai,Angers,AJ Auxerre,shadow_track,-0.1457,1.3230,0,,0,expected_starter,0.246719,4.0532,Bet365,4.7500,0.171915,medium,2026-08-27T17:57:22Z,,14131,Amine Sbai,AJ Auxerre,Angers SCO,AML,AML,1955.0,T2,no_action,,0,0.1335,0.00,,,1,1,Usman Simbakoli,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score_super_sub_checked:Usman Simbakoli
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Danny Namaso,Auxerre,Angers SCO,shadow_track,0.0796,1.1837,0,,0,starter,0.354139,2.8237,Bet365,3.4000,0.204073,high,2026-08-29T18:27:24Z,,13888,Danny Namaso,AJ Auxerre,Angers SCO,AML,AML,2544.0,T1,surface,,0,0.0789,1.25,core,1.25u Core,1,1,,0,1,0,lost,2026-08-31T16:57:08Z,-1.2500,played_did_not_score_super_sub_ambiguous
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Jim Allevinah,Angers,AJ Auxerre,shadow_track,1.1970,1.0921,0,,0,starter,0.266194,3.7567,Bet365,5.0000,0.330970,high,2026-08-29T18:27:24Z,,9645,Jim Allevinah,AJ Auxerre,Angers SCO,Sub,Sub,3839.0,T1,no_action,non_attacking_role,0,0.0000,0.00,,,1,1,Prosper Peter,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score_super_sub_checked:Prosper Peter
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Lamine Sy,Auxerre,Angers SCO,shadow_track,-0.0957,1.3385,0,,0,expected_starter,0.228239,4.3814,Bet365,8.0000,0.825912,medium,2026-08-27T17:57:22Z,,13793,Lamine Sy,AJ Auxerre,Angers SCO,DR,DR,1609.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Sinaly Diomande,Auxerre,Angers SCO,shadow_track,-0.4492,1.3385,0,,0,expected_starter,0.228650,4.3735,Bet365,9.0000,1.057850,medium,2026-08-27T17:57:22Z,,8703,Sinaly Diomande,AJ Auxerre,Angers SCO,DC,DC,5065.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Yassin Belkhdim,Angers,AJ Auxerre,shadow_track,-0.7683,1.2674,0,,0,expected_starter,0.172860,5.7850,Bet365,8.0000,0.382880,medium,2026-08-27T17:57:22Z,,10517,Yassin Belkhdim,AJ Auxerre,Angers SCO,MC,MC,3704.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score
2026-08-29,2026-08-29T18:45:00Z,Stade Brest 29 vs Toulouse FC,France - Ligue 1,Kamory Doumbia,Brest,Toulouse FC,shadow_track,-1.9283,0.8810,0,,0,expected_starter,0.311321,3.2121,Bet365,4.7500,0.478775,medium,2026-08-27T17:57:22Z,,10100,Kamory Doumbia,Stade Brest 29,Toulouse FC,AMC,AMC,4057.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,1,won,2026-08-31T16:57:08Z,3.7500,scored_1_goals
2026-08-30,2026-08-30T13:00:00Z,Paris FC vs OGC Nice,France - Ligue 1,Antoine Mendy,Nice,Paris FC,shadow_track,0.2666,0.8991,0,,0,expected_starter,0.112717,8.8718,Bet365,13.0000,0.465321,medium,2026-08-27T17:57:22Z,,9514,Antoine Mendy,Paris FC,OGC Nice,DC,DC,3414.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score
2026-08-30,2026-08-30T13:00:00Z,Paris FC vs OGC Nice,France - Ligue 1,Lassine Sinayoko,Paris FC,OGC Nice,shadow_track,1.0602,1.1487,0,,0,expected_starter,0.461813,2.1654,Bet365,2.8750,0.327712,medium,2026-08-27T17:57:22Z,,10815,Lassine Sinayoko,Paris FC,OGC Nice,F,F,5116.0,T2,no_action,,0,0.0466,0.00,,,,,,,1,1,won,2026-08-31T16:57:08Z,1.8750,scored_1_goals
2026-08-30,2026-08-30T13:00:00Z,Paris FC vs OGC Nice,France - Ligue 1,Samir Chergui,Paris FC,OGC Nice,shadow_track,-0.6474,1.2706,0,,0,starter,0.141043,7.0901,Bet365,9.0000,0.269387,high,2026-08-30T12:14:34Z,,13800,Samir Chergui,Paris FC,OGC Nice,DC,DC,1157.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,1,won,2026-08-31T16:57:08Z,8.0000,scored_1_goals
2026-08-30,2026-08-30T13:00:00Z,Paris FC vs OGC Nice,France - Ligue 1,Sofiane Diop,Nice,Paris FC,shadow_track,-1.2054,0.9669,0,,0,expected_starter,0.253833,3.9396,Bet365,4.3330,0.099858,medium,2026-08-27T17:57:22Z,,6846,Sofiane Diop,Paris FC,OGC Nice,AMC,AMC,3714.0,T2,no_action,,0,0.1370,0.00,,,1,0,,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score
2026-08-30,2026-08-30T13:00:00Z,Paris FC vs OGC Nice,France - Ligue 1,Youssouf Ndayishimiye,Nice,Paris FC,shadow_track,1.0798,0.9449,0,,0,expected_starter,0.099095,10.0913,Bet365,12.0000,0.189140,medium,2026-08-27T17:57:22Z,,11339,Youssouf Ndayishimiye,Paris FC,OGC Nice,DC,DC,3742.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-08-31T16:57:08Z,-1.0000,played_did_not_score
2026-09-05,2026-09-05T15:15:00Z,Racing Club De Lens vs FC Lorient,France - Ligue 1,Jean-Victor Makengo,Lorient,Racing Club De Lens,shadow_track,0.1449,0.7562,0,,0,expected_starter,0.241695,4.1374,Bet365,7.5000,0.812712,medium,2026-09-03T11:49:07Z,,3536,Jean-Victor Makengo,Racing Club De Lens,FC Lorient,AMC,AMC,2483.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-09-06T12:56:25Z,-1.0000,played_did_not_score
2026-09-05,2026-09-05T15:15:00Z,Racing Club De Lens vs FC Lorient,France - Ligue 1,Matthieu Udol,Lens,FC Lorient,shadow_track,-1.6583,1.0184,0,,0,expected_starter,0.297559,3.3607,Bet365,6.0000,0.785354,medium,2026-09-03T11:49:07Z,,5745,Matthieu Udol,Racing Club De Lens,FC Lorient,DML,DML,5880.0,T2,no_action,,0,0.0000,0.00,,,1,1,Souleymane Sagnan,0,1,0,lost,2026-09-06T12:56:25Z,-1.0000,played_did_not_score_super_sub_checked:Souleymane Sagnan
2026-09-05,2026-09-05T15:15:00Z,Racing Club De Lens vs FC Lorient,France - Ligue 1,Noah Cadiou,Lorient,Racing Club De Lens,shadow_track,0.7338,0.7562,0,,0,expected_starter,0.184684,5.4147,Bet365,8.0000,0.477472,medium,2026-09-03T11:49:07Z,,13975,Noah Cadiou,Racing Club De Lens,FC Lorient,MC,MC,2027.0,T2,no_action,,0,0.0000,0.00,,,1,0,,0,1,0,lost,2026-09-06T12:56:25Z,-1.0000,played_did_not_score
